bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,bid_size1,bid_size2,bid_size3,bid_size4,bid_size5,bid_order1,bid_order2,bid_order3,bid_order4,bid_order5,ask_price1,ask_price2,ask_price3,ask_price4,ask_price5,ask_size1,ask_size2,ask_size3,ask_size4,ask_size5,ask_order1,ask_order2,ask_order3,ask_order4,ask_order5,time
859.55,859.5,859.45,859.4,859.35,859.65,859.85,859.9,859.95,860.0,37,113,248,299,600,190,18,2004,1174,10612,2,1,4,3,11,1,1,5,9,35,1720781919.271752
859.7,859.6,859.55,859.5,859.45,860.0,860.05,860.1,860.15,860.2,17,456,384,1521,379,11367,233,2396,1962,3418,2,4,6,7,8,30,8,13,10,17,1720781920.193518
859.85,859.8,859.75,859.7,859.65,860.0,860.05,860.1,860.15,860.2,29,35,88,668,537,8654,5,970,134,3483,3,1,2,7,5,22,1,5,4,10,1720781921.421955
859.7,859.65,859.6,859.55,859.5,860.0,860.05,860.1,860.15,860.2,206,379,1000,376,2478,8654,59,1237,134,3432,4,7,9,7,14,22,2,7,4,12,1720781921.566488
859.65,859.6,859.55,859.5,859.45,860.0,860.05,860.1,860.15,860.2,310,212,202,1711,331,8507,543,2751,2112,3003,3,4,5,8,8,22,9,10,12,15,1720781922.650719
859.65,859.6,859.55,859.5,859.45,860.0,860.05,860.1,860.15,860.2,215,319,457,1698,344,8453,287,2732,2089,3488,3,4,8,9,7,19,3,10,11,13,1720781923.763192
859.65,859.6,859.55,859.5,859.45,859.95,860.0,860.05,860.1,860.15,56,513,427,1720,292,19,10007,50,2251,2048,1,4,7,11,7,1,22,3,11,11,1720781924.968658
859.7,859.6,859.55,859.5,859.45,859.95,860.0,860.05,860.1,860.15,18,201,630,1519,216,26,10206,240,2710,1923,2,2,7,10,6,1,25,3,17,9,1720781926.171262
859.95,859.85,859.75,859.7,859.65,860.0,860.05,860.1,860.15,860.2,200,98,54,62,420,7939,31,2337,1873,1964,2,2,1,1,5,16,2,10,8,10,1720781927.372347
859.85,859.65,859.6,859.55,859.5,860.0,860.05,860.1,860.15,860.2,51,96,481,432,1764,7939,85,2451,1914,2978,2,2,5,5,12,16,3,13,9,15,1720781927.570381
859.85,859.65,859.6,859.55,859.5,860.0,860.05,860.1,860.15,860.2,48,1,371,289,2006,7966,138,3891,1931,2779,1,1,3,6,14,15,4,13,10,13,1720781928.794296
859.85,859.6,859.55,859.5,859.45,859.95,860.0,860.05,860.1,860.15,8,371,278,1358,215,49,7882,85,4032,1307,1,3,5,7,5,1,16,3,16,11,1720781929.978802
859.65,859.6,859.55,859.5,859.45,860.0,860.05,860.1,860.15,860.2,329,249,377,1741,178,6757,85,2911,470,2883,4,4,7,14,4,16,3,9,8,12,1720781931.178225
859.8,859.7,859.65,859.6,859.55,860.0,860.05,860.1,860.15,860.2,168,505,495,2113,766,5415,5,970,183,2695,1,4,9,18,11,14,1,5,6,10,1720781932.479504
859.8,859.7,859.65,859.6,859.55,860.0,860.05,860.1,860.15,860.2,168,539,495,2113,732,5147,5,970,183,2695,1,5,9,18,10,14,1,5,6,10,1720781932.676121
859.9,859.85,859.8,859.75,859.7,860.0,860.05,860.1,860.15,860.2,165,33,26,54,293,3213,5,987,59,2269,1,1,1,1,3,14,1,6,3,7,1720781933.812096
859.75,859.7,859.65,859.6,859.55,860.0,860.05,860.1,860.15,860.2,2,50,429,904,357,1643,39,1860,192,3444,1,2,7,8,7,8,2,9,7,11,1720781934.976255
859.5,859.45,859.4,859.35,859.3,859.8,859.85,859.9,859.95,860.0,780,125,229,533,3119,78,1222,1666,293,2554,5,3,2,5,9,2,9,11,6,17,1720781936.179414
859.95,859.7,859.65,859.6,859.55,860.0,860.05,860.1,860.15,860.2,165,137,331,964,312,955,59,2218,1705,4420,1,3,6,8,6,9,2,10,10,15,1720781937.373835
859.95,859.7,859.65,859.6,859.55,860.0,860.05,860.1,860.15,860.2,232,363,381,984,298,338,386,2165,401,3458,2,4,6,10,5,6,2,9,7,12,1720781937.57469
859.85,859.8,859.75,859.7,859.65,860.1,860.15,860.2,860.25,860.3,35,168,357,721,335,1884,1297,1169,3117,1572,2,1,3,7,8,6,6,8,13,10,1720781938.829736
859.9,859.8,859.75,859.7,859.65,860.15,860.2,860.25,860.3,860.35,166,199,158,470,603,93,112,669,2425,1665,1,2,3,4,10,1,1,10,10,10,1720781939.985253
860.15,860.0,859.95,859.9,859.85,860.3,860.35,860.4,860.45,860.5,29,10,39,116,121,3664,155,1827,2072,4295,1,1,1,1,3,9,3,15,12,25,1720781941.189428
861.4,861.35,861.3,861.25,861.2,861.5,861.65,861.7,861.75,861.8,44,90,124,383,1153,126,164,307,329,435,2,1,2,4,11,1,2,3,4,6,1720782091.730749
