ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,ch,chp,time
861.5,3898013,1720762275,1720762275,84,8479,861.45,861.5,135,627677,1789922,859.12,855.3,861.7,0,0,856.7,856.7,4.8,0.5603,1720782075.796487
861.5,3898013,1720762275,1720762276,84,8479,861.45,861.5,67,627677,1789922,859.12,855.3,861.7,0,0,856.7,856.7,4.8,0.5603,1720782076.40099
861.35,3902517,1720762276,1720762276,48,5412,861.35,861.5,2,629430,1792445,859.12,855.3,861.7,0,0,856.7,856.7,4.65,0.5428,1720782077.008625
861.45,3902517,1720762276,1720762277,48,5412,861.35,861.5,1,629430,1792445,859.12,855.3,861.7,0,0,856.7,856.7,4.75,0.5545,1720782077.402268
861.5,3905850,1720762278,1720762278,61,2967,861.45,861.5,100,623896,1783643,859.12,855.3,861.7,0,0,856.7,856.7,4.8,0.5603,1720782078.209976
861.5,3905850,1720762278,1720762278,61,2967,861.45,861.5,168,623896,1783643,859.12,855.3,861.7,0,0,856.7,856.7,4.8,0.5603,1720782078.408044
861.6,3910401,1720762279,1720762279,186,3179,861.55,861.6,65,634093,1780346,859.13,855.3,861.7,0,0,856.7,856.7,4.9,0.572,1720782079.417402
861.6,3913578,1720762280,1720762280,135,1433,861.55,861.6,31,619050,1775711,859.13,855.3,861.7,0,0,856.7,856.7,4.9,0.572,1720782080.402198
861.65,3916571,1720762281,1720762281,86,60,861.55,861.65,34,628675,1784003,859.13,855.3,861.7,0,0,856.7,856.7,4.95,0.5778,1720782081.413193
861.9,3916571,1720762281,1720762282,86,60,861.55,861.65,582,628675,1784003,859.13,855.3,861.7,0,0,856.7,856.7,5.2,0.607,1720782082.408162
861.9,3930310,1720762282,1720762282,824,2147,861.75,861.9,17,634777,1772581,859.14,855.3,861.9,0,0,856.7,856.7,5.2,0.607,1720782082.607323
861.85,3931439,1720762282,1720762282,54,840,861.8,861.9,7,633549,1767391,859.14,855.3,861.9,0,0,856.7,856.7,5.15,0.6011,1720782082.816504
861.85,3931439,1720762282,1720762283,54,840,861.8,861.9,52,633549,1767391,859.14,855.3,861.9,0,0,856.7,856.7,5.15,0.6011,1720782083.420618
